transaction_id,product_category,price,quantity,customer_city,customer_age,discount_applied,target_purchased
1,Books,314.77,6,New York,32,1,0
2,Clothing,442.17,4,Los Angeles,63,1,0
3,Sports,479.95,7,Phoenix,40,0,1
4,Sports,104.25,1,New York,29,1,1
5,Electronics,361.51,3,Phoenix,46,0,0
6,Electronics,335.53,3,Los Angeles,61,0,1
7,Books,178.26,1,Los Angeles,65,1,1
8,Clothing,19.36,6,Houston,32,0,0
9,Home,348.0,9,Phoenix,46,0,1
10,Electronics,473.29,8,Chicago,62,0,0
11,Home,319.74,7,Houston,60,1,0
12,Home,223.29,8,Phoenix,66,0,1
13,Clothing,267.33,6,New York,38,0,1
14,Books,107.82,9,New York,32,0,0
15,Clothing,377.77,3,Los Angeles,31,1,0
16,Electronics,375.75,9,Chicago,59,0,0
17,Home,81.3,4,New York,61,1,1
18,Clothing,440.21,7,Phoenix,33,0,0
19,Clothing,141.9,9,Phoenix,32,1,0
20,Clothing,491.31,2,New York,59,1,0
21,Electronics,197.62,2,Phoenix,21,1,0
22,Books,97.16,9,Phoenix,44,0,1
23,Clothing,182.34,3,Los Angeles,40,0,1
24,Electronics,225.69,9,Chicago,46,0,0
25,Home,43.96,5,Los Angeles,58,1,1
26,Sports,293.33,6,Chicago,69,0,1
27,Electronics,302.84,2,Phoenix,26,0,1
28,Sports,372.08,8,Chicago,69,1,0
29,Clothing,24.29,9,Phoenix,60,0,1
30,Clothing,275.21,2,Phoenix,60,0,1
31,Electronics,35.92,6,Los Angeles,24,1,0
32,Sports,353.56,6,Los Angeles,59,1,0
33,Clothing,37.31,8,Houston,21,0,1
34,Home,456.75,5,New York,22,1,1
35,Books,354.02,9,Houston,22,0,0
36,Books,258.62,1,Houston,28,0,0
37,Clothing,226.34,9,Chicago,58,0,0
38,Sports,74.03,7,Phoenix,45,0,0
39,Clothing,152.59,4,Phoenix,33,0,1
40,Sports,435.79,3,Phoenix,58,1,0
41,Home,453.18,6,New York,47,1,1
42,Sports,10.37,1,Chicago,21,0,1
43,Clothing,301.13,3,Chicago,19,1,1
44,Home,362.46,2,Phoenix,63,1,0
45,Electronics,313.19,9,Houston,20,0,0
46,Books,50.02,3,New York,67,1,1
47,Clothing,116.69,2,Houston,38,1,1
48,Clothing,132.67,4,Los Angeles,23,0,1
49,Clothing,417.55,2,Chicago,60,0,1
50,Home,236.97,1,Chicago,35,0,1
51,Electronics,248.55,6,Houston,61,0,0
52,Sports,468.1,8,New York,22,0,0
53,Electronics,322.17,2,Chicago,26,0,0
54,Home,450.35,9,Houston,37,0,1
55,Clothing,233.69,3,New York,45,1,1
56,Books,83.22,8,Houston,43,0,0
57,Clothing,465.67,8,New York,35,1,0
58,Sports,234.77,3,Phoenix,36,1,1
59,Books,99.0,3,New York,20,0,0
60,Clothing,158.17,6,Los Angeles,26,1,0
61,Books,34.89,1,Phoenix,53,1,0
62,Electronics,239.47,4,Houston,48,1,1
63,Home,428.03,1,Phoenix,66,0,1
64,Clothing,467.45,3,Phoenix,34,1,0
65,Sports,466.98,9,Houston,40,1,1
66,Electronics,71.36,5,Houston,51,0,0
67,Clothing,197.21,5,Los Angeles,58,1,0
68,Electronics,23.83,4,Houston,58,1,1
69,Sports,429.03,3,Chicago,22,1,1
70,Clothing,185.79,5,Chicago,32,1,1
71,Sports,319.25,4,Los Angeles,64,1,0
72,Books,360.3,8,New York,20,0,0
73,Sports,220.62,4,New York,36,1,0
74,Books,160.16,8,Chicago,45,0,1
75,Clothing,481.48,6,Houston,20,1,0
76,Books,482.6,5,Los Angeles,55,0,0
77,Clothing,151.82,4,New York,21,0,0
78,Clothing,245.02,4,New York,41,0,0
79,Home,486.69,4,Phoenix,48,1,1
80,Clothing,12.39,9,Chicago,62,1,1
81,Books,212.21,4,Houston,62,1,1
82,Home,59.22,9,Los Angeles,28,1,0
83,Home,259.49,6,New York,54,1,0
84,Clothing,22.09,7,Phoenix,18,0,0
85,Sports,209.38,3,Chicago,26,0,1
86,Sports,118.14,8,Chicago,34,0,1
87,Home,271.32,3,Los Angeles,18,1,1
88,Clothing,498.04,1,New York,20,1,1
89,Sports,402.26,5,Los Angeles,64,0,1
90,Clothing,424.36,2,Los Angeles,43,1,0
91,Clothing,321.28,6,Phoenix,48,1,1
92,Home,30.36,9,Chicago,43,0,1
93,Home,111.33,1,Houston,40,0,1
94,Electronics,463.28,4,Chicago,47,1,0
95,Sports,189.4,1,Chicago,27,1,1
96,Sports,60.78,1,Phoenix,25,0,1
97,Sports,354.18,8,Houston,61,1,1
98,Books,156.73,2,New York,42,0,0
99,Clothing,141.74,1,Houston,39,0,0
100,Home,499.01,8,New York,32,0,1
101,Sports,430.49,4,Houston,58,1,1
102,Electronics,209.89,3,Los Angeles,27,0,1
103,Sports,490.33,4,Houston,37,0,1
104,Clothing,328.56,5,Phoenix,58,1,0
105,Clothing,373.59,1,New York,64,0,1
106,Home,25.44,1,Chicago,40,1,0
107,Books,69.59,3,Phoenix,18,1,1
108,Home,320.21,6,New York,19,1,0
109,Sports,450.52,1,New York,36,0,0
